,book title,ratings,avg_score,author,score,votes
0,Pride and Prejudice,"3,880,784",4.28,Jane Austen,"237,502,","2,403"
1,"Fifty Shades of Grey (Fifty Shades, #1)","2,404,108",3.66,E.L. James,"231,134,","2,344"
2,"Beautiful Disaster (Beautiful, #1)","641,646",4.04,Jamie McGuire,"216,871,","2,200"
3,"Twilight (The Twilight Saga, #1)","6,087,704",3.64,Stephenie Meyer,"138,962,","1,426"
4,"The Notebook (The Notebook, #1)","1,580,186",4.14,Nicholas Sparks,"98,497,","1,012"
5,"Perfect Chemistry (Perfect Chemistry, #1)","256,406",4.05,Simone Elkeles,"98,391,","1,005"
6,"Outlander (Outlander, #1)","979,694",4.25,Diana Gabaldon,"91,404,",932
7,Jane Eyre,"1,951,264",4.14,Charlotte Brontë,"87,353,",897
8,"Thoughtless (Thoughtless, #1)","138,610",4.09,S.C. Stephens,"82,713,",851
9,"Bared to You (Crossfire, #1)","506,306",4.16,Sylvia Day,"80,275,",835
10,"Easy (Contours of the Heart, #1)","225,612",4.08,Tammara Webber,"69,836,",730
11,Gone with the Wind,"1,173,069",4.30,Margaret Mitchell,"69,611,",720
12,"Gabriel's Inferno (Gabriel's Inferno, #1)","155,032",3.99,Sylvain Reynard,"65,332,",680
13,The Time Traveler's Wife,"1,726,429",3.99,Audrey Niffenegger,"58,752,",610
14,"Slammed (Slammed, #1)","278,646",4.21,Colleen Hoover,"58,452,",616
15,"Anna and the French Kiss (Anna and the French Kiss, #1)","436,453",3.98,Stephanie Perkins,"57,359,",592
16,"Vampire Academy (Vampire Academy, #1)","623,322",4.11,Richelle Mead,"53,047,",553
17,A Walk to Remember,"775,331",4.19,Nicholas Sparks,"52,555,",552
18,"Dark Lover (Black Dagger Brotherhood, #1)","324,261",4.16,J.R. Ward,"50,461,",530
19,Wuthering Heights,"1,660,851",3.88,Emily Brontë,"50,364,",528
20,"Hush, Hush (Hush, Hush, #1)","672,308",3.93,Becca Fitzpatrick,"47,935,",504
21,The Fault in Our Stars,"4,692,250",4.15,John Green,"45,473,",481
22,Sense and Sensibility,"1,117,952",4.08,Jane Austen,"43,624,",467
23,Persuasion,"642,919",4.15,Jane Austen,"43,029,",452
24,"The Host (The Host, #1)","972,706",3.85,Stephenie Meyer,"42,468,",447
25,"Divergent (Divergent, #1)","3,658,747",4.15,Veronica Roth,"42,344,",448
26,"City of Bones (The Mortal Instruments, #1)","1,897,995",4.08,Cassandra Clare,"40,574,",432
27,"Obsidian (Lux, #1)","270,907",4.15,Jennifer L. Armentrout,"37,937,",404
28,"Love Unscripted (Love, #1)","67,893",4.02,Tina Reber,"36,394,",386
29,"On the Island (On the Island, #1)","81,861",4.11,Tracey Garvis Graves,"34,382,",369
30,"Hopeless (Hopeless, #1)","430,563",4.28,Colleen Hoover,"33,482,",363
31,Memoirs of a Geisha,"1,916,036",4.14,Arthur Golden,"33,091,",352
32,"On Dublin Street (On Dublin Street, #1)","191,975",4.17,Samantha Young,"30,789,",335
33,"Shiver (The Wolves of Mercy Falls, #1)","468,110",3.76,Maggie Stiefvater,"30,747,",326
34,"Halfway to the Grave (Night Huntress, #1)","152,665",4.14,Jeaniene Frost,"27,125,",289
35,The Truth About Forever,"219,412",4.12,Sarah Dessen,"25,838,",275
36,"The Bronze Horseman (The Bronze Horseman, #1)","80,572",4.30,Paullina Simons,"25,445,",265
37,Water for Elephants,"1,545,987",4.10,Sara Gruen,"24,862,",267
38,Kiss an Angel,"60,191",4.19,Susan Elizabeth Phillips,"24,567,",268
39,"It Had to Be You (Chicago Stars, #1)","64,930",4.01,Susan Elizabeth Phillips,"24,325,",271
40,"Reason to Breathe (Breathing, #1)","91,072",4.21,Rebecca    Donovan,"24,310,",263
41,"The Edge of Never (The Edge of Never, #1)","146,978",4.22,J.A. Redmerski,"22,568,",252
42,Emma,"810,657",4.04,Jane Austen,"21,927,",235
43,"Flat-Out Love (Flat-Out Love, #1)","58,769",3.99,Jessica Park,"21,391,",229
44,"Leaving Paradise (Leaving Paradise, #1)",avg,really,Simone Elkeles,"20,519,",222
45,This Lullaby,"176,823",4.02,Sarah Dessen,"20,068,",224
46,"Clockwork Angel (The Infernal Devices, #1)","788,730",4.32,Cassandra Clare,"19,964,",218
